"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"CAZyme","N0.HOG0000000",29.5,57,1
"CAZyme","N0.HOG0000002",3,2,33
"CAZyme","N0.HOG0000003",1,2,89
"CAZyme","N0.HOG0000004",18,21.5,1
"CAZyme","N0.HOG0000006",4,4,11
"CAZyme","N0.HOG0000010",13,0,2
"CAZyme","N0.HOG0000012",22,0,1
"CAZyme","N0.HOG0000016",1.5,1,18
"CAZyme","N0.HOG0000020",37,21,1
"CAZyme","N0.HOG0000021",17,11,1
"CAZyme","N0.HOG0000022",23,7,1
"CAZyme","N0.HOG0000023",3,3,32
"CAZyme","N0.HOG0000024",13,0,2
"CAZyme","N0.HOG0000025",5,4,8
"CAZyme","N0.HOG0000026",7,0,8
"CAZyme","N0.HOG0000029",3,5,1
"CAZyme","N0.HOG0000031",4,0,49
"CAZyme","N0.HOG0000032",18,0,1
"CAZyme","N0.HOG0000036",18.5,0,1
"CAZyme","N0.HOG0000038",40.5,38,1
"CAZyme","N0.HOG0000039",28,0,1
"CAZyme","N0.HOG0000041",33,38.5,1
"CAZyme","N0.HOG0000042",2,2,208
"CAZyme","N0.HOG0000043",13.5,6.5,1
"CAZyme","N0.HOG0000045",0,3,53
"CAZyme","N0.HOG0000048",6,3.5,2
"CAZyme","N0.HOG0000049",2,3,25
"CAZyme","N0.HOG0000050",0,36.5,1
"CAZyme","N0.HOG0000052",0,3,53
"CAZyme","N0.HOG0000055",9,0,8
"CAZyme","N0.HOG0000061",23,20,1
"CAZyme","N0.HOG0000062",18.5,16,1
"CAZyme","N0.HOG0000064",1,1.5,20
"CAZyme","N0.HOG0000065",1,2,89
"CAZyme","N0.HOG0000066",2,2,208
"CAZyme","N0.HOG0000067",2.5,0,5
"CAZyme","N0.HOG0000068",6,2,1
"CAZyme","N0.HOG0000069",1,0,85
"CAZyme","N0.HOG0000070",4,8,1
"CAZyme","N0.HOG0000071",4,4,11
"CAZyme","N0.HOG0000072",1,2,89
"CAZyme","N0.HOG0000073",3,0,50
"CAZyme","N0.HOG0000074",4,0,49
"CAZyme","N0.HOG0000075",0,5,22
"CAZyme","N0.HOG0000080",1,2,89
"CAZyme","N0.HOG0000081",3,2,33
"CAZyme","N0.HOG0000082",3,4,13
"CAZyme","N0.HOG0000083",4,3,5
"CAZyme","N0.HOG0000084",2,3,25
"CAZyme","N0.HOG0000085",17.5,27.5,1
"CAZyme","N0.HOG0000092",11,39,1
"CAZyme","N0.HOG0000096",0,13,2
"CAZyme","N0.HOG0000097",2,2,208
"CAZyme","N0.HOG0000099",0,30,2
"CAZyme","N0.HOG0000100",11,7,1
"CAZyme","N0.HOG0000101",13,6,1
"CAZyme","N0.HOG0000103",12,14,1
"CAZyme","N0.HOG0000105",0,4,43
"CAZyme","N0.HOG0000107",44,18,1
"CAZyme","N0.HOG0000112",14,20.5,1
"CAZyme","N0.HOG0000113",16,8,2
"CAZyme","N0.HOG0000114",0,15,1
"CAZyme","N0.HOG0000116",3,3,32
"CAZyme","N0.HOG0000117",1,3.5,2
"CAZyme","N0.HOG0000118",11,4,1
"CAZyme","N0.HOG0000119",4,2.5,3
"CAZyme","N0.HOG0000120",7,5,3
"CAZyme","N0.HOG0000121",7,8,2
"CAZyme","N0.HOG0000123",0,4,43
"CAZyme","N0.HOG0000125",2,2,208
"CAZyme","N0.HOG0000126",2,2,208
"CAZyme","N0.HOG0000128",1,1,371
"CAZyme","N0.HOG0000130",1,1,371
"CAZyme","N0.HOG0000131",3.5,2,1
"CAZyme","N0.HOG0000141",1,1,371
"CAZyme","N0.HOG0000144",0,2,269
"CAZyme","N0.HOG0000146",24,0,3
"CAZyme","N0.HOG0000147",20,0,3
"CAZyme","N0.HOG0000148",1,1,371
"CAZyme","N0.HOG0000149",3,1,4
"CAZyme","N0.HOG0000150",1,1,371
"CAZyme","N0.HOG0000151",1,1,371
"CAZyme","N0.HOG0000152",1,1,371
"CAZyme","N0.HOG0000153",1,1,371
"CAZyme","N0.HOG0000154",1,1,371
"CAZyme","N0.HOG0000155",24,18,1
"CAZyme","N0.HOG0000156",24,0,3
"CAZyme","N0.HOG0000157",7,0,8
"CAZyme","N0.HOG0000158",0,22,2
"CAZyme","N0.HOG0000159",10,10,1
"CAZyme","N0.HOG0000160",12,13,2
"CAZyme","N0.HOG0000161",7,5,3
"CAZyme","N0.HOG0000162",6.5,5,1
"CAZyme","N0.HOG0000163",5.5,11,1
"CAZyme","N0.HOG0000164",13,11,1
"CAZyme","N0.HOG0000166",5,7.5,1
"CAZyme","N0.HOG0000167",13,14,1
"CAZyme","N0.HOG0000168",0,3.5,8
"CAZyme","N0.HOG0000193",0,2,269
"CAZyme","N0.HOG0000196",0,5,22
"CAZyme","N0.HOG0000197",4,6,2
"CAZyme","N0.HOG0000198",7,1,2
"CAZyme","N0.HOG0000205",0,16.5,1
"CAZyme","N0.HOG0000216",3,0,50
"CAZyme","N0.HOG0000218",5,2,2
"CAZyme","N0.HOG0000226",10,12,1
"CAZyme","N0.HOG0000229",2,17,1
"CAZyme","N0.HOG0000237",6,7,3
"CAZyme","N0.HOG0000238",12,13,2
"CAZyme","N0.HOG0000240",12.5,5,1
"CAZyme","N0.HOG0000242",3,3,32
"CAZyme","N0.HOG0000243",0,27,1
"CAZyme","N0.HOG0000246",0,6,12
"CAZyme","N0.HOG0000250",9.5,10,1
"CAZyme","N0.HOG0000254",8,7.5,1
"CAZyme","N0.HOG0000256",17,12.5,1
"CAZyme","N0.HOG0000257",8,4,1
"CAZyme","N0.HOG0000259",10,13,1
"CAZyme","N0.HOG0000260",11,0,1
"CAZyme","N0.HOG0000265",16,13.5,1
"CAZyme","N0.HOG0000267",9,6,2
"CAZyme","N0.HOG0000268",1,1.5,20
"CAZyme","N0.HOG0000280",0,8,9
"CAZyme","N0.HOG0000283",7,11,2
"CAZyme","N0.HOG0000287",0,2,269
"CAZyme","N0.HOG0000288",0,3,53
"CAZyme","N0.HOG0000289",16,0,1
"CAZyme","N0.HOG0000290",7,11.5,1
"CAZyme","N0.HOG0000291",16,17,1
"CAZyme","N0.HOG0000292",2,2,208
"CAZyme","N0.HOG0000297",2.5,2,3
"CAZyme","N0.HOG0000300",9,6,2
"CAZyme","N0.HOG0000301",7.5,0,2
"CAZyme","N0.HOG0000302",2,0,327
"CAZyme","N0.HOG0000304",7,0,8
"CAZyme","N0.HOG0000305",11,11,1
"CAZyme","N0.HOG0000306",5,0,21
"CAZyme","N0.HOG0000311",0,8,9
"CAZyme","N0.HOG0000312",4.5,3,1
"CAZyme","N0.HOG0000318",10,0,3
"CAZyme","N0.HOG0000321",5,5,5
"CAZyme","N0.HOG0000323",8,8,1
"CAZyme","N0.HOG0000325",4,0,49
"CAZyme","N0.HOG0000326",5,0,21
"CAZyme","N0.HOG0000329",4,0,49
"CAZyme","N0.HOG0000331",3,0,50
"CAZyme","N0.HOG0000333",2,2,208
"CAZyme","N0.HOG0000334",2,1,87
"CAZyme","N0.HOG0000339",0,2,269
"CAZyme","N0.HOG0000342",5,3,5
"CAZyme","N0.HOG0000344",4,9,2
"CAZyme","N0.HOG0000352",4,5,3
"CAZyme","N0.HOG0000353",1,1,371
"CAZyme","N0.HOG0000354",1,0,85
"CAZyme","N0.HOG0000355",2,3,25
"CAZyme","N0.HOG0000357",7,11,2
"CAZyme","N0.HOG0000360",0,1,70
"CAZyme","N0.HOG0000367",11,7.5,1
"CAZyme","N0.HOG0000370",6,12,1
"CAZyme","N0.HOG0000371",2,2,208
"CAZyme","N0.HOG0000372",10,3.5,1
"CAZyme","N0.HOG0000393",7.5,6.5,1
"CAZyme","N0.HOG0000394",3,4,13
"CAZyme","N0.HOG0000396",2,1,87
"CAZyme","N0.HOG0000397",2,7.5,1
"CAZyme","N0.HOG0000398",2,1,87
"CAZyme","N0.HOG0000399",3,3,32
"CAZyme","N0.HOG0000401",8,6,1
"CAZyme","N0.HOG0000408",2,3,25
"CAZyme","N0.HOG0000409",0,3,53
"CAZyme","N0.HOG0000416",7,0,8
"CAZyme","N0.HOG0000418",5,5,5
"CAZyme","N0.HOG0000424",5,4,8
"CAZyme","N0.HOG0000431",3.5,4,2
"CAZyme","N0.HOG0000432",4,4,11
"CAZyme","N0.HOG0000436",0,7,10
"CAZyme","N0.HOG0000437",4,3,5
"CAZyme","N0.HOG0000441",12,8,1
"CAZyme","N0.HOG0000443",4,3.5,4
"CAZyme","N0.HOG0000445",2,2,208
"CAZyme","N0.HOG0000447",6.5,7,1
"CAZyme","N0.HOG0000448",1,1,371
"CAZyme","N0.HOG0000449",1,1,371
"CAZyme","N0.HOG0000451",3,2,33
"CAZyme","N0.HOG0000452",0,5,22
"CAZyme","N0.HOG0000453",10.5,0,1
"CAZyme","N0.HOG0000455",9,0,8
"CAZyme","N0.HOG0000456",0,9.5,1
"CAZyme","N0.HOG0000457",5,0,21
"CAZyme","N0.HOG0000458",5,4,8
"CAZyme","N0.HOG0000459",7,0,8
"CAZyme","N0.HOG0000462",5,4,8
"CAZyme","N0.HOG0000463",0,1,70
"CAZyme","N0.HOG0000464",13.5,25,1
"CAZyme","N0.HOG0000468",4,0,49
"CAZyme","N0.HOG0000470",1,1,371
"CAZyme","N0.HOG0000471",0,4,43
"CAZyme","N0.HOG0000472",9,0,8
"CAZyme","N0.HOG0000473",4,4,11
"CAZyme","N0.HOG0000476",5,5,5
"CAZyme","N0.HOG0000489",3,2,33
"CAZyme","N0.HOG0000493",6,0,10
"CAZyme","N0.HOG0000496",4,0,49
"CAZyme","N0.HOG0000500",3,8,2
"CAZyme","N0.HOG0000502",2,0,327
"CAZyme","N0.HOG0000503",12,17,1
"CAZyme","N0.HOG0000504",5,3,5
"CAZyme","N0.HOG0000506",8.5,0,1
"CAZyme","N0.HOG0000507",6,4,1
"CAZyme","N0.HOG0000510",9,13,1
"CAZyme","N0.HOG0000512",5,3,5
"CAZyme","N0.HOG0000513",9,0,8
"CAZyme","N0.HOG0000517",14.5,8,1
"CAZyme","N0.HOG0000519",16,8,2
"CAZyme","N0.HOG0000523",0,2,269
"CAZyme","N0.HOG0000531",4,0,49
"CAZyme","N0.HOG0000535",0,7,10
"CAZyme","N0.HOG0000537",5.5,6,1
"CAZyme","N0.HOG0000538",4,0,49
"CAZyme","N0.HOG0000540",9,0,8
"CAZyme","N0.HOG0000541",4,3,5
"CAZyme","N0.HOG0000542",4,0,49
"CAZyme","N0.HOG0000546",1.5,0,20
"CAZyme","N0.HOG0000547",6,1,1
"CAZyme","N0.HOG0000548",5,4,8
"CAZyme","N0.HOG0000549",0,1,70
"CAZyme","N0.HOG0000550",4.5,5,1
"CAZyme","N0.HOG0000554",14,0,2
"CAZyme","N0.HOG0000555",10,0,3
"CAZyme","N0.HOG0000556",0,3,53
"CAZyme","N0.HOG0000558",4,0,49
"CAZyme","N0.HOG0000561",0,8,9
"CAZyme","N0.HOG0000563",4,4.5,2
"CAZyme","N0.HOG0000566",4.5,7,1
"CAZyme","N0.HOG0000568",10,5.5,1
"CAZyme","N0.HOG0000572",6,6,2
"CAZyme","N0.HOG0000573",13,13,1
"CAZyme","N0.HOG0000577",2,0,327
"CAZyme","N0.HOG0000584",0,7,10
"CAZyme","N0.HOG0000585",0,11,3
"CAZyme","N0.HOG0000587",0,5,22
"CAZyme","N0.HOG0000588",3,2,33
"CAZyme","N0.HOG0000589",4,0,49
"CAZyme","N0.HOG0000590",6,3.5,2
"CAZyme","N0.HOG0000594",0,11,3
"CAZyme","N0.HOG0000598",0,6,12
"CAZyme","N0.HOG0000603",3,2,33
"CAZyme","N0.HOG0000604",3.5,7,1
"CAZyme","N0.HOG0000605",2,2,208
"CAZyme","N0.HOG0000606",1,2,89
"CAZyme","N0.HOG0000614",0,9,5
"CAZyme","N0.HOG0000617",4,4,11
"CAZyme","N0.HOG0000625",14,0,2
"CAZyme","N0.HOG0000626",2,1,87
"CAZyme","N0.HOG0000631",4.5,0,2
"CAZyme","N0.HOG0000635",0,7.5,3
"CAZyme","N0.HOG0000642",6,0,10
"CAZyme","N0.HOG0000645",9,0,8
"CAZyme","N0.HOG0000646",1,1,371
"CAZyme","N0.HOG0000647",2,2,208
"CAZyme","N0.HOG0000648",2,0,327
"CAZyme","N0.HOG0000649",3,3,32
"CAZyme","N0.HOG0000652",3,2,33
"CAZyme","N0.HOG0000654",12,0,3
"CAZyme","N0.HOG0000658",3,3,32
"CAZyme","N0.HOG0000659",20,0,3
"CAZyme","N0.HOG0000660",4.5,4,1
"CAZyme","N0.HOG0000661",6,3,3
"CAZyme","N0.HOG0000662",0,2,269
"CAZyme","N0.HOG0000663",0,13,2
"CAZyme","N0.HOG0000666",4,3.5,4
"CAZyme","N0.HOG0000667",2,2,208
"CAZyme","N0.HOG0000668",3,4,13
"CAZyme","N0.HOG0000669",2,4.5,1
"CAZyme","N0.HOG0000671",3,3,32
"CAZyme","N0.HOG0000674",1,1,371
"CAZyme","N0.HOG0000675",1,1,371
"CAZyme","N0.HOG0000676",2,2,208
"CAZyme","N0.HOG0000678",4,2.5,3
"CAZyme","N0.HOG0000679",2,2,208
"CAZyme","N0.HOG0000680",3,3,32
"CAZyme","N0.HOG0000681",1.5,13,1
"CAZyme","N0.HOG0000683",12.5,7,1
"CAZyme","N0.HOG0000692",4.5,0,2
"CAZyme","N0.HOG0000693",4,4,11
"CAZyme","N0.HOG0000694",1,2,89
"CAZyme","N0.HOG0000699",0,1,70
"CAZyme","N0.HOG0000701",9,9,1
"CAZyme","N0.HOG0000704",2,2,208
"CAZyme","N0.HOG0000705",3,2,33
"CAZyme","N0.HOG0000706",0,1,70
"CAZyme","N0.HOG0000707",0,10,2
