acc,S,H,evenness,simp,invsimp,tool,Ambrosia,Family,Genus,FungusName
Albonectria_albosuccineum_NRRL_20459,29,2.425881836543631,0.7204243283113547,0.8768201354514291,8.118209933618584,Virulence,N,Nectriaceae,Albonectria,Albonectria_albosuccineum
Albonectria_decemcellulare_NRRL_13412,27,2.427707831557464,0.7365982996909275,0.8785676685080575,8.235039117785142,Virulence,N,Nectriaceae,Albonectria,Albonectria_decemcellulare
Ambrosiella_beaveri_CBS121753,21,2.2917453240402703,0.7527437786774696,0.8514729165136389,6.732778807252533,Virulence,Y,Ceratocystidaceae,Ambrosiella,Ambrosiella_beaveri
Ambrosiella_cleistominuta_CBS141682,23,2.3068796104903933,0.7357307816964954,0.850908037965246,6.707269703559841,Virulence,Y,Ceratocystidaceae,Ambrosiella,Ambrosiella_cleistominuta
Ambrosiella_roeperi_2021_000006,22,2.2790997446800385,0.7373239866711865,0.8490741961900496,6.625772232157372,Virulence,Y,Ceratocystidaceae,Ambrosiella,Ambrosiella_roeperi
Ambrosiella_xylebori_CBS11061,22,2.3001367429831565,0.7441297807101075,0.8499574704142012,6.6647769986320435,Virulence,Y,Ceratocystidaceae,Ambrosiella,Ambrosiella_xylebori
Aspergillus_fumigatus_Af293,26,2.3086308156691504,0.7085826919883392,0.8578135772877213,7.033020318849639,Virulence,outgroup,Aspergillaceae,Aspergillus,Aspergillus_fumigatus
Berkeleyomyces_basicola_CMW49352,23,2.2782907271122195,0.7266129580268058,0.8464196805399086,6.511250943581055,Virulence,N,Ceratocystidaceae,Berkeleyomyces,Berkeleyomyces_basicola
Bretziella_fagacearum_C519,23,2.2860455230985837,0.7290861872698922,0.8507777630868958,6.701414083360275,Virulence,N,Ceratocystidaceae,Bretziella,Bretziella_fagacearum
Catunica_adiposa_CBS136_34,23,2.31973284460409,0.7398300506565205,0.8556798680718389,6.929040229105218,Virulence,N,Ceratocystidaceae,Catunica,Catunica_adiposa
Ceratocystiopsis_brevicomis_CBS_137839,22,2.2847679361997124,0.7391577342192072,0.8475813490267089,6.560876858667603,Virulence,N,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis_brevicomis
Ceratocystis_cubensis_C1811,23,2.310728463710599,0.7369582925624547,0.854309362762549,6.863859057532774,Virulence,N,Ceratocystidaceae,Ceratocystis,Ceratocystis_cubensis
